Date,Humidity,Wind Speed,Dew Point,Temperature,Pressure,Festival,Lockdown,Covid-Case,PM2.5
01-10-2019,83,4.5,76,81.9,28.1,0,0,0,84
02-10-2019,81.6,4.6,77.4,83.8,28.1,0,0,0,83
03-10-2019,82,3.7,75.3,81.7,28.1,0,0,0,81
04-10-2019,85.4,2.7,73.9,78.6,28.1,0,0,0,94
05-10-2019,87.4,3.5,75.3,79.4,28.1,0,0,0,112
06-10-2019,86.3,2.5,73.3,77.9,28.1,4,0,0,97
07-10-2019,82.9,2.4,76,81.6,28.1,0,0,0,126
08-10-2019,86.2,3.1,76.3,80.8,28,3,0,0,125
09-10-2019,88.7,1.7,74.5,78.1,28,0,0,0,132
10-10-2019,85.6,3.4,72.9,77.3,28.1,0,0,0,138
11-10-2019,83.4,3.2,73.3,78.6,28.1,0,0,0,92
12-10-2019,84.3,2.2,76.4,82,28.1,0,0,0,91
13-10-2019,85.2,2.3,76.3,81.4,28.1,3,0,0,86
14-10-2019,81,4.7,76.9,83.4,28.1,0,0,0,78
15-10-2019,81.9,8.8,76,82.3,28.1,0,0,0,110
16-10-2019,92.9,3.9,73.2,75.5,28.1,0,0,0,121
17-10-2019,84.6,5.1,73.9,78.8,28.1,0,0,0,123
18-10-2019,86.1,5.6,75.2,79.8,28.1,0,0,0,104
19-10-2019,89.9,5.1,75.7,79.2,28.1,0,0,0,60
20-10-2019,91.5,3.1,75.5,78.3,28.1,0,0,0,59
21-10-2019,85.5,4.5,74.4,79.2,28.1,0,0,0,68
22-10-2019,86.2,3,74,78.7,28,0,0,0,53
23-10-2019,86,3.5,74.3,79.1,28,0,0,0,101
24-10-2019,89.5,4.1,74.7,78.2,28,0,0,0,108
25-10-2019,81.5,4.1,75.4,81.8,28,0,0,0,70
26-10-2019,79.9,5.3,74.8,82.1,28.1,0,0,0,92
27-10-2019,77.3,4.1,75.7,83.8,28.1,4,0,0,54
28-10-2019,83.4,4.9,76.7,82.3,28.1,0,0,0,79
29-10-2019,87.7,3.4,73.3,77,28.1,0,0,0,120
30-10-2019,88.6,5.1,75,78.8,28.1,0,0,0,94
31-10-2019,87,5.9,74.8,79.2,28.1,0,0,0,97
01-11-2019,82.7,4.8,75.3,81.3,28.1,1,0,0,57
02-11-2019,79.8,4.3,75.3,82.4,28.1,2,0,0,61
03-11-2019,77.9,3.4,75.2,83.2,28.1,1,0,0,81
04-11-2019,66.9,3.2,71.1,83.8,28.1,0,0,0,91
05-11-2019,69.7,2.4,71.3,82.5,28.1,0,0,0,134
06-11-2019,79.5,2,74.1,81.5,28,0,0,0,160
07-11-2019,71.3,2,71.8,82.4,28,0,0,0,158
08-11-2019,75.2,1.9,72.7,81.6,28.1,0,0,0,150
09-11-2019,73.5,3.7,72.3,81.7,28.1,0,0,0,157
10-11-2019,66.5,4.6,68.1,80.7,28.1,2,0,0,162
11-11-2019,75.2,4,71.2,79.9,28.1,0,0,0,146
12-11-2019,68.6,5.2,67.8,79.1,28.1,3,0,0,138
13-11-2019,70.9,4.7,67.9,78.4,28.2,1,0,0,132
14-11-2019,78,4.2,70.2,77.9,28.1,1,0,0,144
15-11-2019,78.8,2.9,71.6,78.5,28.1,3,0,0,156
16-11-2019,68.3,3.7,69.9,81.4,28.1,1,0,0,158
17-11-2019,65.2,5.4,68.5,81.8,28.1,0,0,0,148
18-11-2019,64.2,4,67.1,80.7,28.1,0,0,0,154
19-11-2019,68.3,2.8,70,81.5,28.1,0,0,0,160
20-11-2019,78.1,4,71.3,78.8,28.1,0,0,0,162
21-11-2019,77.9,4,70.2,77.7,28.2,0,0,0,162
22-11-2019,76.5,2.8,68.5,76.7,28.2,0,0,0,157
23-11-2019,62,4.3,65.2,79.7,28.2,1,0,0,159
24-11-2019,71.3,3,67.5,77.8,28.2,2,0,0,156
25-11-2019,74.8,4.9,69.1,77.7,28.1,1,0,0,161
26-11-2019,71.8,5,66.7,76.8,28.1,0,0,0,162
27-11-2019,69,4.6,64,74,28.1,0,0,0,162
28-11-2019,77.5,4.9,71,78.6,28.1,0,0,0,155
29-11-2019,73.7,4.3,69,76.7,28.1,0,0,0,161
30-11-2019,76.9,4.3,71.2,79.2,28.1,1,0,0,152
01-12-2019,80.7,5.5,71.7,78.2,28.2,0,0,0,147
02-12-2019,86.3,5.8,71.1,75.3,28.2,0,0,0,144
03-12-2019,88.4,2.4,71.3,74.8,28.2,0,0,0,124
04-12-2019,77.4,6.3,68.8,76.6,28.2,0,0,0,114
05-12-2019,74.3,3.9,67.5,76.6,28.2,1,0,0,161
06-12-2019,76.3,4.1,66.2,74.5,28.2,0,0,0,162
07-12-2019,72.4,4.9,65.3,75.3,28.2,0,0,0,163
08-12-2019,79,3.4,68.8,76,28.2,1,0,0,162
09-12-2019,78,3.5,68.9,76.5,28.2,1,0,0,152
10-12-2019,69.8,3,66.8,77.8,28.1,1,0,0,137
11-12-2019,69.6,2.2,65.7,76.8,28.1,1,0,0,133
12-12-2019,69.2,3.6,64.8,76.2,28.1,2,0,0,154
13-12-2019,69.5,3.2,67.2,78.5,28.1,0,0,0,144
14-12-2019,75.2,4.8,69.5,78,28.2,0,0,0,104
15-12-2019,69.9,5.1,67,77.9,28.2,0,0,0,115
16-12-2019,73.6,4.3,66.3,75.7,28.2,0,0,0,120
17-12-2019,73.9,5,67.1,76.4,28.2,0,0,0,129
18-12-2019,73,3.9,66.6,76.3,28.2,0,0,0,150
19-12-2019,75.4,2.4,67,75.8,28.2,0,0,0,159
20-12-2019,73.2,2.2,65.8,75.8,28.1,0,0,0,159
21-12-2019,73.7,3.6,66.8,76.2,28.1,0,0,0,158
22-12-2019,72.5,4.5,66.3,76.3,28.2,0,0,0,162
23-12-2019,72.6,5.2,64.8,74.8,28.2,0,0,0,160
24-12-2019,71.4,5.6,66.4,76.8,28.2,1,0,0,158
25-12-2019,72.7,5.7,68.2,77.8,28.2,3,0,0,151
26-12-2019,78.3,4.5,69.8,77.1,28.1,2,0,0,159
27-12-2019,77.5,3.6,69.9,77.6,28.1,0,0,0,153
28-12-2019,71.4,5.4,63.8,73.8,28.2,0,0,0,137
29-12-2019,72.6,4.6,64.5,74.4,28.2,0,0,0,160
30-12-2019,76.8,5.7,66.4,74.4,28.1,0,0,0,180
31-12-2019,87.2,6.1,68.7,72.6,28.2,4,0,0,190
01-03-2020,62.5,5.3,67.3,82.7,28.1,0,0,1,113
02-03-2020,58.9,4.6,67.3,84,28.1,0,0,1,114
03-03-2020,58.7,4.2,68.9,85.7,28.1,0,0,1,138
04-03-2020,46.2,6.9,61.8,86.5,28.1,0,0,1,144
05-03-2020,55.1,3.9,64.4,84.5,28,0,0,1,120
06-03-2020,60.8,5.4,67.6,83.2,28.1,0,0,1,148
07-03-2020,71.6,5.9,72.4,83.7,28.1,0,0,1,95
08-03-2020,75.2,6.4,73.7,83,28.1,0,0,1,107
09-03-2020,70.6,5.8,71.5,81.9,28.1,2,0,1,87
10-03-2020,68.7,28.5,71.8,83.7,28.1,3,0,1,84
11-03-2020,69.5,5.1,72.2,83.7,28.1,0,0,1,72
12-03-2020,75.2,5.7,74.1,83.3,28.1,0,0,1,82
13-03-2020,61.3,7.2,70.2,86.5,28.1,0,0,1,82
14-03-2020,63.6,5.2,69.9,84.7,28.1,0,0,1,79
15-03-2020,60.6,8.6,67.3,83.5,28.1,0,0,3,97
16-03-2020,62.9,7,69.5,84.4,28.1,0,0,3,81
17-03-2020,43,7.6,62.8,88.9,28.1,0,0,5,80
18-03-2020,45.2,4.6,64.2,89.7,28.1,0,0,6,70
19-03-2020,64.1,4.2,69.4,83.9,28.1,0,0,6,85
20-03-2020,56.6,4.5,69,87.4,28.1,0,0,16,115
21-03-2020,55.1,4.4,66.5,87.3,28.1,0,0,21,89
22-03-2020,57.3,4.2,67.9,86.9,28.1,0,1,22,101
23-03-2020,63.5,5.6,72.3,86.9,28.1,0,0,32,98
24-03-2020,57,5.8,68.4,84.5,28,0,1,35,107
25-03-2020,52.1,7.3,68,88.3,28,2,1,35,79
26-03-2020,51.5,5.8,66.5,87.2,28.1,0,1,44,82
27-03-2020,33.7,7.5,62.5,95.4,28.1,0,1,45,84
28-03-2020,32.9,7,62,95.3,28.1,0,1,56,100
29-03-2020,33.9,6.7,64.1,97,28,0,1,66,101
30-03-2020,41.5,5.1,65.8,92.6,28.1,0,1,69,107
31-03-2020,45.8,5.5,69.3,93,28.1,0,1,79,99
01-04-2020,62,3.9,72,92.6,28.1,0,1,96,120
02-04-2020,55,4.7,72,96.8,28.1,0,1,96,130
03-04-2020,58,4.5,70,90.3,28.1,0,1,107,134
04-04-2020,74,5.5,72,83.7,28.1,0,1,158,115
05-04-2020,66,4.3,73,90.8,28.1,0,1,269,112
06-04-2020,74,5.1,77,86.7,28.1,0,1,321,102
07-04-2020,49,5.5,72,96.1,28.1,0,1,321,94
08-04-2020,51,5.5,68,93.9,28.1,0,1,364,84
09-04-2020,89,8.1,75,89,28.1,0,1,427,70
10-04-2020,62,6.3,72,90,28.1,0,1,442,88
11-04-2020,62,4.9,72,82.8,28.2,0,1,473,73
12-04-2020,59,5.8,73,96.7,28.1,0,1,504,80
13-04-2020,40,5.6,64,96.5,28.1,0,1,504,120
14-04-2020,35,4.5,59,97.2,28.1,0,1,624,103
15-04-2020,36,5.5,61,98.5,28.1,0,1,624,107
16-04-2020,38,6,63,96.6,28,0,1,647,101
17-04-2020,62,6.3,70,95.3,28,0,1,743,117
18-04-2020,66,4.2,75,93.5,28,0,1,766,109
19-04-2020,70,8.4,75,89.8,28.1,0,1,809,100
20-04-2020,55,4.4,73,96.1,28.1,0,1,844,81
21-04-2020,52,6.5,70,97.2,28.1,0,1,873,76
22-04-2020,74,6,75,95.2,28,0,1,928,72
23-04-2020,53,5.4,75,98,28,0,1,945,73
24-04-2020,75,4.7,81,94.2,28,0,1,960,76
25-04-2020,52,11.4,70,97.7,28,0,1,984,81
26-04-2020,75,3.5,81,95.8,28.1,0,1,991,89
27-04-2020,66,5.3,77,95.3,28,0,1,1002,80
28-04-2020,89,8.8,79,89.9,28,0,1,1004,68
29-04-2020,59,4.7,73,94.8,28.1,0,1,1004,68
30-04-2020,58,4.6,72,95.3,28,0,1,1012,61
